"Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril, Canada, mai 2023",,,,,,,,,,
,,,,,,,,,,
Nom commun,Nom scientifique,Groupe d'espèces,Désignation de la Loi sur les espèces en péril,Version finale du document de rétablissement,COSEWIC Date de réévaluation,Date du rapport sur les progrès de la mise en œuvre du programme de rétablissement,Objectifs du document de rétablissement,Données sur les espèces,Logique,Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril
Fabronie naine,Fabronia pusilla,Mousse,En voie de disparition,5/2/2008,5/1/2012,5/1/2012,Confirmer la présence de la fabronie naine au Canada. Protéger et maintenir toute population existante.,"Aucun changement. Au Canada, elle se trouve seulement sur un site associé à une falaise dans le sud-ouest de la Colombie-Britannique. Même si l'espèce n'a pas été revue dans ce site lors de récents relevés, l'étendue de l'habitat disponible à ce site ainsi que la petite taille de cette mousse laissent présager que l'espèce pourrait être encore présente au Canada sur ce site.",Aucune nouvelle observation de cette espèce au Canada n'a été signalée.,Objectifs opérationnels
Gomphe ventru,Gomphurus ventricosus,Insecte,En voie de disparition,10/28/2021,4/1/2022,,"Maintenir une population stable de l’espèce dans son aire de répartition au Canada, y compris dans tout nouveau site qui pourrait être découvert dans le futur.",Les données disponibles sont insuffisantes pour estimer les tendances démographiques. L’augmentation du nombre de relevés et de signalements a permis de répertorier 10 nouvelles sous-populations depuis la première évaluation du COSEPAC réalisée en 2010. Il y a maintenant 13 sous-populations connues.,Les tendances démographiques sont inconnues.,Données insuffisantes pour déterminer les tendances
Halimolobos mince,Crucihimalaya virgata,"Plante vasculaire, herbe",Menacée,11/30/2012,12/1/2022,,Maintenir la persistance des populations naturelles6 connues au sein de la répartition actuelle de l’espèce au Canada.,"L’Alberta compte 12 sous-populations existantes connues, comprenant entre 664 et 4 469 individus. La Saskatchewan compte 20 sous-populations existantes connues comprenant entre 472 et 4 439 individus. Depuis le dernier rapport de situation de 2000, 24 sous-populations ont été découvertes en Alberta et en Saskatchewan, seulement 5 sous-populations ont été désignées historiques.",D’importantes fluctuations à travers le temps ont été observées dans les sites qui ont été revisités. L’augmentation de l’effectif est attribuable à la découverte de nouvelles sous-populations et 5 sous?populations connues sont disparues. ,Preuves mitigées
Plagiobothryde délicate,Plagiobothrys tenellus,"Plante vasculaire, herbe",Menacée,9/17/2014,11/1/2008,7/7/2021,"1) Maintenir la population de plagiobothryde délicate sur l'île Saturna. 2) Maintenir l'habitat sur les emplacements de la population 1 sur l'île Galiano, de la population 2 sur l'île Galiano, de Lone Tree Hill, de l'île Mayne, de l'île South Pender et de l'île North Pender, tout en évaluant la faisabilité de restaurer la population de plagiobothryde délicate; et 3) établir et/ou accroître les populations afin d'augmenter l'abondance et la répartition, si cela est jugé réalisable et biologiquement approprié pour la plagiobothryde délicate.","La population de l'île Saturna est la seule population toujours existante au Canada. Des relevés quantitatifs ont commencé en 2016 afin d'établir un point de référence et ainsi aider à détecter des tendances dans la taille de la population et sa répartition dans le futur. En 2017, des graines de plagiobothryde délicate ont été semées dans une sous-population existante et une nouvelle sous-population sur l'île Saturna. Le suivi annuel de la population en 2018 a montré des résultats positifs. La sous-population existante est passée de 26 plantes en 2017 à 941 plantes en 2019 et la nouvelle sous-population est passée de 0 plantes en 2017 à 1828 plantes en 2019.",Il n'y a pas suffisamment de données disponibles pour déterminer les tendances. La récolte de données a seulement commencé en 2016.,Données insuffisantes pour déterminer les tendances
Isotrie fausse-médéole,Isotria medeoloides,"Plante vasculaire, herbe",En voie de disparition,6/20/2007,5/1/2011,5/1/2011,Le but à long terme (2006 à 2026) du programme de rétablissement est d'assurer la pérennité et la viabilité de la seule population de l'espèce au Canada. Protéger la population existante et l'habitat viable.,"La qualité de l'habitat de l'espèce a continué de diminuer et l'espèce n'a pas été observée depuis 1998. Toutefois, comme cette espèce peut rester en dormance pendant des années, il est possible qu'elle existe encore.",Aucune nouvelle observation de l'espèce n'a été consignée au Canada. La qualité de l'habitat est en déclin.,Ne montre aucun progrès
Abronie à petites fleurs,Tripterocalyx micranthus,"Plante vasculaire, herbe",En voie de disparition,11/30/2012,12/1/2022,,Maintenir la persistance des populations naturelles connues au sein de la répartition actuelle de l’espèce au Canada.,La population canadienne est estimée à 5 152 individus.,"Il est impossible de déterminer avec exactitude la taille et les tendances de la population de l’espèce, car les données sont incomplètes dans le cas de la plupart des sous-populations. La sous-population de la RNF de la BFC Suffield affichait une tendance stable.",Données insuffisantes pour déterminer les tendances
Épioblasme tricorne,Epioblasma triquetra,Mollusc,En voie de disparition,1/29/2007,11/1/2011,6/11/2013,"Rétablir des populations saines et autosuffisantes dans les rivières Ausable, Grand, Sydenham et Thames et dans le delta de la rivière St.-Clair.","Cette espèce est actuellement restreinte aux rivières Sydenham Est et Ausable. Elle est de moins en moins abondante depuis les années 1960, mais elle se reproduit toujours. Même s'il semble que la taille des populations a augmenté récemment depuis 2001, cela semble être lié principalement à l'augmentation des efforts d'échantillonnage.","Les populations des rivières Sydenham et Ausable semblent viables, car elles se reproduisent dans les 2 milieux. La zone d'occupation dans ces rivières est restée stable.",Montre des progrès
Yucca glauque,Yucca glauca,"Plante vasculaire, herbe",Menacée,8/11/2011,5/1/2013,5/1/2013,"Maintenir la répartition et l'habitat actuels du yucca glauque en Alberta. Maintenir des populations naturelles autosuffisantes sur le site de la station de recherche Onefour d'AAC et accroître la capacité reproductive sur le site de Pinhorn. Atteindre, d'ici 2011, un taux annuel de fructification d'au moins 5 % chez la population de Pinhorn et maintenir un taux annuel de fructification d'au moins 7 % sur le site de la station de recherche Onefour d'AAC. S'assurer qu'aucune perte de yucca glauque ne résulte de la collecte à des fins horticoles ou médicinales.","Cette espèce est seulement présente sur 3 sites de prairie. Une légère hausse a été observée sur un site, mais les tendances à plus long terme sont incertaines. Les autres sites présentent des populations stables. Le succès de fructification a augmenté au site de Pinhorn, en partie grâce à la protection des plants contre les chevreuils. Un élément essentiel de la santé de la population du yucca glauque à long terme est la persistance du mutualisme avec la teigne du yucca. En effet, la pollinisation du yucca glauque est effectuée exclusivement par cet insecte.",Aucun déclin ou fluctuation dans la population n'a été documenté. Le succès de fructification a augmenté à un site.,Montre des progrès
Hespérie du Sonora,Polites sonora,Insecte,Non en péril,12/30/2015,11/1/2016,11/1/2016,Assurer la persistance à tous les emplacements connus (et nouveaux emplacements) dans l'aire de répartition de l'espèce en Colombie-Britannique., Les données sont insuffisantes pour estimer les tendances des populations. Les sous-populations sont considérées comme autosuffisantes.,Rien ne prouve un déclin de la population.,Montre des progrès
Baleine à bec de Sowerby,Mesoplodon bidens ,Mammifère,Préoccupante,4/26/2017,5/1/2019,,Maintenir la stabilité de la population de baleines à bec de Sowerby dans toute son aire de répartition située dans les eaux canadiennes de l'Atlantique.,"Les estimations de population sont basées sur très peu de données et par de grands intervalles de confiance. Par conséquent, il n’y a pas suffisamment de données pour estimer la taille de la population ou pour détecter une tendance.",Les tendances des populations ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Andersonie charmante,Bryoandersonia illecebra,Mousse,Menacée,10/25/2006,11/1/2017,11/1/2017,"Conserver les populations existantes à long terme et, si réalisable, restaurer la stabilité et la durablité à long terme en augmentant la taille des populations existantes et/ou le nombre d'occurrences connues.","Trois sous-populations avaient précédemment été identifiées. À la suite de l'augmentation de l'effort de recherche, 20 sous-populations ont maintenant été identifiées. La taille de la plupart des sous-populations revisitées semble stable. Toutefois, il n'y a pas eu suffisament d'échantillonnage pour déterminer les tendances de la population.",La taille des sous-population revisitées semble stable.,Montre des progrès
Lépisosté tacheté,Lepisosteus oculatus,"Poisson, eau douce",En voie de disparition,10/30/2012,11/1/2015,5/9/2018,"Maintenir la répartition et les densités actuelles des populations existantes dans le parc national de la Pointe-Pelée, la baie Rondeau et la baie Long Point.",On ne dispose d'aucune donnée à long terme pour cette espèce. La population actuelle d'individus matures est estimée à 483 à la Pointe Pelée et à 8 121 à la baie Rondeau?; la population de la baie Long Point est probablement très petite (seulement 21 individus capturés depuis 1947).,Les tendances des populations ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Chouette tachetée de la sous-espèce caurina,Strix occidentalis caurina,Oiseau,En voie de disparition,10/25/2006,4/1/2008,4/1/2008,L'objectif immédiat est d'arrêter le déclin de la population. Établir une population autosuffisante stable ou croissante (plus de 250 individus matures) distribuée dans l'ensemble de son aire de répartition naturelle.,"Les populations de la Chouette tachetée sont en déclin dans l'ensemble de son aire de répartition au Canada. En Colombie-Britannique, les inventaires menés entre 1992 et 2002 indiquaient que la population canadienne avait chuté d'environ 67 % pendant cette période. En se fondant sur les faibles effectifs de 2002, on projetait que la Chouette tachetée disparaîtrait probablement du Canada en 5 à 10 ans.",Le déclin de la population se poursuit. L'espèce devrait disparaître du Canada.,Ne montre aucun progrès
Meunier tacheté,Minytrema melanops,"Poisson, eau douce",Préoccupante,10/19/2009,11/1/2014,4/26/2022,Maintenir ou accroître les populations existantes et améliorer la qualité et la quantité de leur habitat.,Il est difficile d’estimer la répartition et la taille de la population de façon fiable en l’absence de données détaillées sur l’abondance.,Des activités de suivi et d’évaluation supplémentaires devraient être menées pour affiner les aires de répartition et déterminer l’abondance de ces espèces.,Données insuffisantes pour déterminer les tendances
Chimaphile maculée,Chimaphila maculata,"Plante vasculaire, herbe",Menacée,12/30/2015,4/1/2017,4/1/2017,"Maintenir à leur niveau actuel l’abondance et l’aire de répartition de toutes les sous-populations existantes au Canada, et en accroître l’abondance lorsqu’il est possible.","D’après les relevés réalisés de 2011 à 2014, l’abondance, obtenue par un dénombrement des tiges, est sans doute stable, et peut-être même en hausse",La population semble stable ou en croissance.,Montre des progrès
Loup tacheté,Anarhichas minor,Poisson de mer,Menacée,2/27/2008,11/1/2012,8/28/2013,"Augmenter les niveaux de population et de la répartition, de manière à garantir sa viabilité à long terme.","Cette espèce a subi d'importants déclins de la fin des années 1970 jusqu'au milieu des années 1990, mais depuis ce temps, la majorité de son aire de répartition au Canada a fait l'objet d'un certain rétablissement. Celui-ci est indiqué par une augmentation de l'abondance et de sa zone d'occupation. Depuis 1996, on observe une remontée considérable. Ces augmentations récentes sont encourageantes, mais les niveaux de l'espèce sont toujours faibles comparativement à ceux des premiers relevés.",On a observé des signes d'augmentation de l'abondance et de la zone d'occupation.,Montre des progrès
Pipit de Sprague,Anthus spragueii,Oiseau,Menacée,5/2/2008,4/1/2010,4/1/2010,Les buts du rétablissement du Pipit de Sprague visent à accroître et par la suite à maintenir la taille de la population et sa répartition à un niveau égal ou supérieur à ceux de 1980 à 1989 dans toute la répartition historique du pipit au Canada ainsi qu’à éviter une perte et une dégradation accrues des prairies indigènes dans son aire de répartition historique. Le programme de rétablissement a été modifié en 2012. Aucune modification n'a été apportée aux objectifs de rétablissement fixés en 2008.,"Cette espèce a connu un déclin à long terme sans aucun signe de rétablissement. Les données à long terme des relevés des oiseaux nicheurs tirées de la région de conservation des oiseaux 11, qui inclue plus de la moitié de la population du Pipit de Sprague au Canada, montrent un déclin de 4,4 % par an entre 1968 et 2008. Les données à court terme du relevé des oiseaux nicheurs des 12 dernières années (1996?2008) montrent une augmentation non significative de 1,4 % par an. ","Le déclin à long terme du Pipit de Sprague semble s'être arrêté, mais aucun rétablissement significatif n'a été observé. ",Montre des progrès
Otarie de Steller,Eumetopias jubatus,Mammifère,Préoccupante,1/25/2011,11/1/2013,12/20/2018,Faire en sorte que le Canada ne cause pas un déclin insoutenable à la population ou une contraction de l'aire de répartition ou du nombre de sites de reproduction actuels au Canada.,De fortes hausses démographiques ont été observées depuis la mise en œuvre de mesures de protection des otaries de Steller en 1970. La population de la Colombie-Britannique a augmenté de 4 à 5 fois. Deux nouvelles roqueries se sont établies dans cette province.,Les populations augmentent depuis les années 1970 et le nombre de sites de reproduction est également à la hausse.,Montre des progrès
Alouette hausse-col de la sous-espèce strigata,Eremophila alpestris strigata,Oiseau,En voie de disparition,11/20/2007,4/1/2018,4/1/2018,Établir et maintenir une population reproductrice d'au moins 10 couples reproducteurs répartis dans au moins 3 sites au sein de l'aire de reproduction historique.,La population est présentement évaluée à zéro individu. La dernière reproduction confirmée était en 1978 et les indices les plus récents de reproduction potentielle datent de 2002.,La population est présentement évaluée à zéro individu.,Ne montre aucun progrès
Bar rayé,Morone saxatilis,"Poisson, eau douce",En voie de disparition,10/7/2011,11/1/2019,11/15/2017,"But du rétablissement est de restaurer, au cours des dix procjaines années, une population de bar rayé qui se reproduira et se maintiendra d'elle-même dans l'estuaire du Saint-Laurent, s'y intégrant à la communauté biologique, sans la pertuber. Objectifs: 1. Accroître les effectifs de bar rayé 2. Identifier les habitats utilisés par la population de bar rayé 3. Suivre l'état de la population de bar rayé 4. Suivre l'état de certaines composantes de la communauté ichtyologique (proies, prédateurs ou compétiteurs) en relation avec le bar rayé 5. Protéger la population de bar rayé et ses habitats les plus importants","Poissons de la population du fleuve Saint-Laurent non pas être capturés depuis 1968 malgré les échantillonnages extensifs scientifiques, récréatifs, et commerciaux. En 2002, les poissons d’une autre population (Rivière miramichi) ont commencé à être stocké au fleuve Saint-Laurent et, comme les menaces historiques dans le fleuve Saint-Laurent ont diminué, les poissons ont rétabli une population reproductrice. Puisque les nouveaux poissons établis sont l’origine d’une autre population, ils ne sont pas considéré tel que parti de la population originale du fleuve Saint-Laurent. La population originale du fleuve Saint-Laurent n’existe plus.
",La population originale du fleuve Saint-Laurent n’existe plus.,Ne montre aucun progrès
Clèthre à feuilles d'aulne,Clethra alnifolia,"Plante vasculaire, herbe",Menacée,9/8/2010,5/1/2014,5/1/2014,Maintenir une population persistante et l'habitat en Nouvelle-Écosse.,"Les tendances ne sont pas quantifiées, mais l'aménagement des rives est peut-être responsable d'un léger déclin (probablement de moins de 4,6 %). Les menaces dues à l'introduction d'espèces exotiques envahissantes et à l'enrichissement en nutriments pourraient avoir des effets significatifs dans le futur, mais elles ne semblent pas avoir réduit les populations pour le moment. ",La population semble stable ou en léger déclin.,Montre des progrès
Renard véloce,Vulpes velox,Mammifère,Menacée,1/14/2008,4/1/2021,11/1/2009,"Assurer une population mature reproductrice d'au moins 250 renards avant 2012. Rétablir une population autosuffisante d'au moins 1 000 individus matures reproducteurs, d'ici 2027.","La population de renard véloce actuelle au Canada provient de ré-introductions. En 1991-1992, la population canadienne était estimée à 225 individus. En 2000-2001, la population avait plus que doublé, pour atteindre 656, et a atteint un maximum en 2005-2006. On a déduit à un déclin entre les inventaires de 2005-2006 et de 2014-2015. Des captures de caméra en 2015 et 2018 suggèrent que la population est demeurée stable. Le nombre actuel d'individus matures est estimé à 445.","La population canadienne a augmenté entre 1996 et 2001. On a déduit un déclin de population entre les inventaires de 2005-2006 et de 2014-2015. Par contre, les captures de caméra en 2015 et 2018 suggèrent que la population est demeurée stable.",Montre des progrès
Cimicaire élevée,Actaea elata,"Plante vasculaire, herbe",En voie de disparition,3/17/2017,4/1/2018,4/1/2018,"S'assurer que le nombre de populations ainsi que la qualité et la quantité de l'habitat occupé restent stables ou augmentent. Si possible, rétablir des populations additionnelles et restaurer de l'habitat connectif dans l'aire de répartition historique.",Les données actuelles ne permettent pas de calculer les tendances de la population.,Les tendances de la population ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Psilocarphe élevé,Psilocarphus elatior,"Plante vasculaire, herbe",En voie de disparition,8/11/2006,4/1/2018,4/1/2018,Maintenir ou accroître les effectifs de populations. Rétablir dans toute leur zone d'occurrence et leur zone d'occupation historiques. Assurer la viabilité à long terme des populations.,"En 2015, il y avait entre 50 000 et 65 000 individus matures. Des fluctuations extrêmes dans le nombre de plants matures pourraient être un facteur limitant si les graines ne persistent pas dans le sol pour plusieurs années.",La plus grosse sous-population a diminué en raison de dépôts de déblais de dragage et la perte d'habitat.,Ne montre aucun progrès
Damier de Taylor,Euphydryas editha taylori,Insecte,En voie de disparition,8/11/2006,5/1/2011,5/1/2011,Atteindre des populations autosuffisantes viables dans l'aire de répartition historique de l'espèce au Canada.,"L'espèce est présente dans un seul emplacement?; la taille de la population dans l'habitat inventorié est estimée à 13 000 individus environ. On s'attend à un déclin de la population, compte tenu des tendances actuelles en matière d'habitat. Malgré des recherches approfondies, aucun autre site d'occurrence n'a été trouvé.","Les tendances en matière de taille des populations sont inconnues, mais l'aire de répartition géographique n'est pas en croissance.",Ne montre aucun progrès
Vertigo à crêtes fines,Vertigo rowellii,Mollusc,Préoccupante,2/18/2019,5/1/2022,,"Maintenir les populations de vertigos à crêtes fines de tous les sites de la province abritant l’espèce, ainsi que toute nouvelle population qui pourrait être découverte dans le futur.","Au total, 76 mentions de l’espèce ont été répertoriées à 42 sites en Colombie-Britannique. Depuis le précédent rapport de situation du COSEPAC (2010), 48 nouvelles mentions et 22 nouveaux sites ont été répertoriés. Les données disponibles sont toutefois insuffisantes pour estimer les tendances démographiques.",Les données disponibles sont insuffisantes pour déterminer les tendances de la population et de la répartition.,Données insuffisantes pour déterminer les tendances
Crotale des bois,Crotalus horridus,Reptile,Disparue du pays,3/23/2010,5/1/2023,,Le rétablissement du crotale des bois au Canada n'est pas réalisable sur le plan technique ou biologique. Le caractère réalisable du rétablissement sera réévalué si les conditions et/ou les connaissances changent.,Aucun changement. Cette espèce n'a pas été aperçue au Canada depuis 1941 malgré des recherches intensives et le fait qu'il est facile de l'identifier.,n/d,Irréalisable
Cryptanthe minuscule,Cryptantha minima,"Plante vasculaire, herbe",Menacée,10/25/2006,5/1/2012,5/1/2012,"Maintenir ou accroître les populations existantes. Maintenir l'habitat pour soutenir leur répartition.

Le programme de rétablissement a été modifié en 2012. Aucune modification n'a été apportée aux objectifs de rétablissement fixés en 2006.","En raison du niveau naturel de variabilité du nombre d'individus au sein d'une population et entre les années, et de l'incertitude liée à l'étendue de l'habitat potentiellement adéquat pour la Cryptanthe minuscule, il est impossible de déterminer les tendances de la population de cette espèce sans des recherches plus approfondies. Toutefois, un déclin de la population est projeté en raison de la perte continue du nombre de plantes à Medicine Hat et des activités associées à l'exploration pétrolière et gazière.","Actuellement, il est impossible de déterminer les tendances de la population pour cette espèce. ",Données insuffisantes pour déterminer les tendances
Milandre,Galeorhinus galeus,Poisson de mer,Préoccupante,4/23/2012,4/1/2021,2/21/2022,Maintenir des populations viables et prévenir une baisse jusqu’à des niveaux où elles seraient menacées ou en voie de disparition.,Il sera nécessaire de recueillir des données supplémentaires pour créer un indice d’abondance relative reflétant l’abondance réelle de l’espèce.,"D’autres recherches devront être menées pour mieux comprendre la structure du stock, l’habitat et les besoins alimentaires du milandre afin de veiller à la conservation de l’espèce.",Données insuffisantes pour déterminer les tendances
Saule de Turnor,Salix turnorii,"Plante vasculaire, herbe",Préoccupante,12/18/2013,4/1/2018,4/1/2018,Maintenir la densité de population actuelle et la zone d'occupation.,Population estimée entre 1 520 000 et 33 300 000 individus. Déclin potentiel de l'étendue de l'occurrence en raison de l'entrée de forêt le long des marges ouest des dunes de la rivière William. Déclin de l'habitat en raison de la conversion nette de la surface des dunes ouvertes en forêt.,Aucun information n'est disponible pour évaluer les tendances de population.,Données insuffisantes pour déterminer les tendances
Tortule à poils lisses,Syntrichia laevipila,Mousse,Préoccupante,8/11/2011,11/1/2014,11/1/2014,Maintenir les populations connues en Colombie-Britannique.,Une occurrence a disparu avec le développement urbain. De nouvelles occurrences ont été répertoriées mais la plupart des sites n'ont pas été revisités.,On ne peut déterminer les tendances.,Données insuffisantes pour déterminer les tendances
Épinoche à trois épines benthique du ruisseau Vananda,Gasterosteus aculeatus,"Poisson, eau douce",En voie de disparition,8/21/2019,4/1/2010,8/3/2022,Maintenir des populations autosuffisantes de la paire d'espèces d'épinoches dans le bassin versant du ruisseau Vananda.,"Un marquage-recapture réalisé en 2016 a permis d'estimer la population d'épinoches benthiques de Vananda à 118 058 individus (intervalles de confiance à 95 % : 101 351, 141 358) dans le lac Priest. Il n'y a pas eu d'estimations depuis, mais l'espèce reste localement abondante et facile à piéger pour l'étude, et il n'y a pas de preuve de déclin.",Les spécimens benthiques semblent être stables dans le ruisseau Vananda.,Montre des progrès
Épinoche à trois épines limnétique du ruisseau Vananda,Gasterosteus aculeatus,"Poisson, eau douce",En voie de disparition,8/21/2019,4/1/2010,8/3/2022,Maintenir des populations autosuffisantes de la paire d'espèces d'épinoches dans le bassin versant du ruisseau Vananda.,"On ne dispose d'aucune mesure de la population des épinoches à 3 épines benthiques et limnétiques du ruisseau Vananda, mais ils demeurent abondants localement et faciles à capturer aux fins d'étude et l'on ne dispose d'aucune preuve de déclin. ",Les spécimens limnétiques semblent être stables dans le ruisseau Vananda.,Montre des progrès
Lamproie de Vancouver,Lampetra macrostoma,"Poisson, eau douce",Menacée,9/27/2007,11/1/2017,8/15/2022,"Maintenir une population autosuffisante dans les lacs Cowichan et Mesachie. Maintenir et, dans la mesure du possible, améliorer l'intégrité écologique de l'habitat.  1) Maintenir une population autonome de lamproie de Vancouver dans les lacs Cowichan et Mesachie qui résiste aux perturbations à court terme de l'habitat. 2) Maintenir et, si possible, améliorer l'intégrité écologique de l'habitat de la lamproie de Vancouver. 3) Améliorer la compréhension scientifique de la lamproie de Vancouver par des recherches supplémentaires sur son statut taxonomique, son histoire naturelle, son habitat essentiel et les menaces qui pèsent sur la persistance de l'espèce. 4) Favoriser la sensibilisation à la lamproie de Vancouver et à son statut de conservation, et encourager la participation locale active à l'intendance et à la protection de l'habitat.","Il n'existe pas d'estimations robustes de l'abondance de la lamproie de Vancouver; cependant, MacConnachie et Wade (2016) résument les études d'échantillonnage des années 1980 à 2015 qui suggèrent un déclin potentiel. Des recherches supplémentaires, en particulier sur la relation entre la disponibilité des proies et l'abondance de la lamproie, sont nécessaires pour confirmer les estimations et les tendances de l'abondance.","La lamproie de Vancouver fait l'objet d'études périodiques et continue d'être rencontrée dans l'ensemble de son aire de répartition connue, mais on manque de données sur l'abondance et les tendances actuelles de la population.",Données insuffisantes pour déterminer les tendances
Héliotin de Verna,Schinia verna,Insecte,Menacée,2/1/2016,11/1/2017,11/1/2017,Maintenir l'occupation de l'espèce dans les occurrences confirmées.,Il n'y a présentement pas de données disponibles sur la taille et les tendances des populations.,On ne dispose pas d'information suffisante pour déterminer les tendances des populations.,Données insuffisantes pour déterminer les tendances
Bruant vespéral de la sous-espèce affinis,Pooecetes gramineus affinis,Oiseau,En voie de disparition,12/20/2016,4/1/2018,4/1/2018,"Établir et maintenir une population reproductrice d'au moins 30 couples reproducteurs répartis dans au moins 3 sites, incluant le site actuel, au sein de l'aire de reproduction historique.",Le nombre d'individus est en déclin. Aucune nidification n'a été confirmée depuis 2014. La population actuelle est proche de zéro.,La population actuelle est proche de zéro.,Ne montre aucun progrès
Gentiane de Victorin,Gentianopsis virgata ssp. Victorinii,"Plante vasculaire, herbe",Menacée,10/23/2012,4/1/2022,,"Les objectifs à court terme consistent à maintenir et, si possible, à accroître la taille de la population et la zone d’occupation de la gentiane de Victorin pour chacune des 14 occurrences identifiées comme cibles prioritaires. À long terme, il s’agit de maintenir et, si possible, d’augmenter la taille de la population et la zone d’occupation de l’espèce dans l’ensemble de son aire de répartition au Canada.","Plante annuelle ou bisannuelle peu longévive et endémique au Canada qui se rencontre dans un habitat restreint soumis aux marées le long de l’estuaire d’eau douce ou d’eau saumâtre du Saint?Laurent. Grâce à l’intensification des activités de recherche, le nombre de sous-populations connues est passé de 28 à 35 depuis la dernière évaluation du COSEPAC. La population est estimée à plus de 30?000 individus matures. Le COSEPAC n’a relevé aucune tendance démographique générale. Parmi les 14 sites prioritaires désignés dans le programme de rétablissement, il a été déterminé grâce aux activités de recherche accrues que les populations sont stables à 9 sites, qu’elles sont en baisse à 3 sites et qu’elles augmentent à 2 sites.",Les données disponibles sont insuffisantes pour estimer la population et déterminer les tendances démographiques.,Preuves mitigées
Cicutaire de Victorin,Cicuta maculata var. victorinii,"Plante vasculaire, herbe",Préoccupante,5/30/2011,4/1/2022,,"Les objectifs à long terme consistent à maintenir et, si possible, à accroître la taille de la population et la zone d’occupation de la cicutaire de Victorin dans l’ensemble de son aire de répartition au Québec. À court terme, il s’agit de maintenir et, si possible, d’augmenter la taille de la population et la zone d’occupation de l’espèce pour chacune des 18 occurrences identifiées comme cibles prioritaires.","La cicutaire de Victorin se rencontre dans des herbaçaies à spartine pectinée ouvertes et hautes de marais intertidaux d’eau douce ou légèrement saumâtre le long de l’estuaire maritime du Saint?Laurent, dans le sud du Québec. Il semble que la population soit demeurée stable au cours des 10 à 15 dernières années. La population est estimée à plus de 21?000 individus, dont au moins 16?637 individus matures répartis dans 54 sous-populations. La majorité des sous-populations semblent stables, à l’exception de celles de trois localités (Saint-Romuald, Château-Richer et la réserve nationale de faune du Cap-Tourmente) qui sont touchées par l’érosion causée par les tempêtes.","La majorité des sous-populations semblent stables, à l’exception de celles de trois localités (Saint?Romuald, Château-Richer et la réserve nationale de faune du Cap-Tourmente) qui sont touchées par l’érosion causée par les tempêtes. ",Preuves mitigées
Érioderme mou,Erioderma mollissimum,Lichen,En voie de disparition,12/10/2014,4/1/2021,11/1/2009,"S'assurer que l'aire de répartition connue de l'espèce (2012) et la santé et stabilité des trois populations connues (2012) ne sont pas affectées par l'utilisation de la ressource biologique (de l'arbre hôte de l'espèce), les corridors de transport et de services, le développement résidentiel et commercial ou par des espèces non indigènes envahissantes.","La seule population existante en Amérique du Nord se retrouve au Canada sur la côte de la Nouvelle-Écosse et sur la péninsule d'Avalon à Terre-Neuve. En Nouvelle-Écosse, il y a eu une perte de 14 % (16 sur 117) dans le nombre de thalles enregistrées dans les 17 occurrences inventoriées en 2007/2008 et de nouveau en 2016. Une partie du déclin pourrait être attribuable aux différences dans les méthodes d'inventaire. À Terre-Neuve, pendant les huit années de suivi, 22 des 84 (26 %) thalles matures et juvéniles sont mortes. Par contre, de nouvelles thalles ont été trouvées. Le nombre de thalles existantes a augmenté, passant de 53 en 2012 à 62 en 2018.","Dans l'ensemble, il semble y avoir eu une diminution dans le nombre de thalles mais de nouvelles thalles ont aussi été trouvées. Les différences dans les méthodes d'inventaire rendent difficile de pouvoir tirer des conclusions en comparant les inventaires.",Preuves mitigées
Crapet sac-à-lait,Lepomis gulosus,"Poisson, eau douce",Préoccupante,10/19/2009,5/1/2015,3/7/2022,Maintenir ou améliorer les populations actuelles au Canada et améliorer la qualité et la disponibilité des habitats qu'ils utilisent.,"L'espèce a une très petite distribution, est retrouvée à seulement quelques sites et subit un déclin constant dans l'étendue et la qualité de son habitat. La taille et les tendances de la population des 3 sous-populations sont inconnues.",Déclin observé dans la qualité et la quantité d'habitats.,Données insuffisantes pour déterminer les tendances
Hydrocotyle à ombelle,Hydrocotyle umbellata,"Plante vasculaire, herbe",Préoccupante,10/27/2022,5/1/2014,6/8/2022,Maintenir les populations existantes au niveau d'abondance actuelle ou supérieur aux sites actuels. Restaurer les habitats afin de rétablir des populations dans des zones de leur habitat historique.,"Un nouveau site a été découvert depuis la dernière évaluation. Les populations semblent stables, d'après les relevés annuels de 2004 à 2012 au parc national du Canada Kejimkujik, les relevés exhaustifs répétés des rivages au lac Wilsons et l'absence de perturbations observées au lac Springhaven Duck.",Les populations sont stables.,Montre des progrès
